time,Q_gas,Q_ch4,P_gas,pH,FOS_TAC,Ac_Pro,VFA,TAC,SS,VS,Biomass
0.0,3437.3368098141495,1952.3144231898318,0.9844988554053583,7.585662414356206,0.07616329114215278,60.27579138022229,0.9284612635905292,12.190403666480606,11.853458039572981,74.94004145779539,16.261861144277034
2.0,3391.557778723582,1918.8617410046356,0.9844962069939822,7.586471378304553,0.06800336342756617,53.45640600501979,0.8281944025557154,12.178727063079272,11.7462060633462,75.3776345796268,16.187035084357078
4.0,3418.943244812643,1936.8846079421567,0.9844977913013406,7.593239946773918,0.07205988276442075,56.739589792509996,0.8779221789891763,12.183230742399244,11.799519599578828,75.37755661987921,16.186636079627423
6.0,3422.121177879798,1940.7566216959835,0.984497975149948,7.5990049245866205,0.07398820291796328,58.3022164939966,0.9013784281166943,12.182731740573908,11.8246008327805,75.37868445640906,16.187584835230922
8.0,3424.9170469775877,1943.8282520053372,0.9844981368972575,7.58784094648694,0.07512361339754457,59.22723686735876,0.9152046356978918,12.182649293701378,11.839392199092902,75.38024050832776,16.18895514347379
10.0,3426.59318357996,1945.6395958074502,0.9844982338640408,7.584520472576253,0.07581080289145638,59.789702064998814,0.9235599593031623,12.182432108330095,11.84832648056939,75.38200497152981,16.190529257333445
12.0,3297.363180329439,1939.631212496867,0.9844907564510534,7.604560884443303,0.07818135032727457,61.594788888478696,0.950682719467052,12.15996801650782,11.878527168831848,75.38272610589668,16.19108770628563
14.0,3433.4509632008176,1953.806952579765,0.984498630595773,7.585795789396798,0.07958686567774084,62.853367086873035,0.9695531749716081,12.182326401663742,11.897517910694305,75.38378100940142,16.19196621142902
16.0,3432.441756311968,1951.935884457983,0.98449857221632,7.585448237868678,0.07841324851737061,61.911924262865604,0.9552238897698738,12.181919609646915,11.882184902334762,75.38650197353638,16.19447999451014
18.0,3431.1472884978366,1950.4917182669049,0.984498497328768,7.583719816352752,0.0776746865095334,61.32060947950533,0.9461890594529706,12.181433900436021,11.872515526793672,75.38881425492899,16.196588638026938
20.0,3468.694141679301,1966.9261459342567,0.984500669431957,10.730092499670722,0.07608471126252778,59.84264304186355,0.9237826751845968,12.141502016050442,11.848625136987643,75.39175201755651,16.19931532426181
22.0,3117.140610863106,1805.9276415692884,0.9844803414965216,11.543246386235161,0.08240096159544055,62.33348390454462,0.9615130390316926,11.668711388980872,11.888032261834802,75.39101484813112,16.198227959975025
24.0,12239.9821901786,2879.5044090536207,0.9850081062792202,11.998149690381007,0.11035345685792006,80.78956846061742,1.240022168426859,11.236822150695163,12.165854318845744,75.37776622833664,16.185231411792778
26.0,471.55227186272464,392.27809972984136,0.9843272733911361,11.386974409213325,0.09882026833873901,77.5211414100275,1.1902266528739474,12.044357629085296,12.15170641671942,75.38220731903843,16.189449582579098
28.0,3363.9522499719856,2260.732523735296,0.9844946088723803,10.223376364589278,0.1380096870619249,111.08858673005443,1.696239048932778,12.290724550166367,12.682417434100994,75.35705782572282,16.164661685589824
30.0,3495.9690312181006,2017.3062855196445,0.9845022474024996,7.580662948923121,0.11545410176539796,91.96648071756033,1.4077832776822563,12.193445327242365,12.365943133890774,75.37486163443873,16.182090568779056
32.0,3476.1449108066704,1997.1641341147997,0.9845011005342863,7.583262252400662,0.10156175749587106,80.6944734864472,1.2377512642635518,12.18717846935518,12.184248212240409,75.38581074310939,16.192728707111755
34.0,3460.18590894752,1980.9539615247443,0.9845001772725379,7.590549468069005,0.09185249472820635,72.82783621043264,1.1190611547406086,12.183241816696828,12.057379439353967,75.39368443114641,16.200321998722085
36.0,3448.893444493243,1969.1650793863932,0.984499523979843,7.591157628967704,0.08552464846219593,67.70634154437629,1.04176625622629,12.180889076519,11.974732013194457,75.3990903780124,16.205475182478395
38.0,3441.0606544355433,1961.0138430780405,0.9844990708359519,7.601914033795564,0.0815383824087869,64.48299099363696,0.9930973674671576,12.179507835810801,11.922679612928052,75.40278883141428,16.20894215125767
40.0,3436.3564421449864,1955.9257137811899,0.9844987986884294,7.585933739567241,0.07911973885479764,62.52902571283066,0.9635733035381487,12.17867143503242,11.89109641022333,75.4053378554604,16.21127547198698
42.0,3433.4962747180493,1952.8541565124626,0.9844986332225587,7.5858448186801954,0.07772855019167102,61.40667309775804,0.9465926247991037,12.178184495464004,11.872927763453175,75.40712025409206,16.212854138268177
44.0,3431.8029852613613,1951.013112761184,0.9844985352623463,7.584931378187986,0.07689316840026325,60.734007373881866,0.9363958554887438,12.177881012970952,11.862016059591042,75.4084730939992,16.21401119109528
46.0,3410.5926367187935,1950.909040197723,0.9844973079822783,7.583901484667438,0.08262051364484002,65.33012659771806,1.0056399372080091,12.171794786110185,11.936117528399137,75.40553838818894,16.210955943343464
48.0,3439.126057053771,1958.73613079996,0.9844989589088091,7.585469580083235,0.08027247107755861,63.474796816274825,0.9776078458333542,12.178619054704289,11.906098484756257,75.40786149632424,16.21308767384003
50.0,3434.7724007588454,1954.238889457262,0.9844987070502713,7.59833246923393,0.07833144223069397,61.90591362622736,0.9539132313369315,12.177909715074072,11.88074721295831,75.40987504779957,16.21490351271612
52.0,3432.7250709390773,1951.9590885977611,0.9844985886068025,7.5860126834445225,0.07726277272368817,61.0436228614588,0.9408720611933734,12.177560136990905,11.866794021221919,75.41124059852089,16.216082618627983
54.0,3431.318340936425,1950.451321939234,0.9844985072245241,7.585581943032797,0.0765894004907882,60.501152334195076,0.9326541859299292,12.177327149102103,11.857999997585978,75.41230275968239,16.21696464007523
